ap_car,ap_cat,ap_chair,ap_dog,ap_person,checkpoint,checkpoint_path,conf_thresh,mAP@0.5,max_det,micro_precision,micro_recall,mode,nms_iou_thresh,num_predictions,precision_car,precision_cat,precision_chair,precision_dog,precision_person,recall_car,recall_cat,recall_chair,recall_dog,recall_person
0.357501,0.819474,0.429667,0.814625,0.635349,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.15,0.611323,100,0.056975,0.845126,raw_max100,0.3,29978,0.023321,0.558824,0.052946,0.326047,0.061589,0.826855,0.863636,0.755319,0.868932,0.865922
0.356643,0.819474,0.42977,0.814625,0.634707,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.15,0.611044,50,0.063648,0.840178,raw_max50,0.3,26678,0.027119,0.558824,0.056679,0.327239,0.067841,0.812721,0.863636,0.755319,0.868932,0.860335
0.336283,0.829767,0.431862,0.817745,0.638288,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.15,0.610789,100,0.051171,0.868877,raw_max100,0.35,34316,0.021186,0.54007,0.047414,0.305743,0.055232,0.858657,0.880682,0.780142,0.878641,0.891061
0.35741,0.816047,0.42947,0.814625,0.635036,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.2,0.610518,100,0.066505,0.841168,raw_max100,0.3,25562,0.027172,0.616327,0.061289,0.363083,0.072322,0.823322,0.857955,0.751773,0.868932,0.861266
0.356539,0.816047,0.429561,0.814625,0.634432,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.2,0.610241,50,0.072998,0.836714,raw_max50,0.3,23165,0.030846,0.616327,0.064911,0.364562,0.078371,0.809187,0.857955,0.751773,0.868932,0.856611
0.334771,0.829767,0.431819,0.814626,0.637995,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.15,0.609795,50,0.059478,0.86195,raw_max50,0.35,29288,0.02537,0.54007,0.052292,0.307692,0.063682,0.830389,0.880682,0.776596,0.873786,0.887337
0.336201,0.826443,0.431862,0.816188,0.638169,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.2,0.609773,100,0.05937,0.866403,raw_max100,0.35,29493,0.024349,0.596899,0.055304,0.340265,0.064575,0.855124,0.875,0.780142,0.873786,0.889199
0.357302,0.812442,0.428994,0.814625,0.634826,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.25,0.609638,100,0.075682,0.837704,raw_max100,0.3,22370,0.030769,0.655022,0.069907,0.387446,0.082802,0.819788,0.852273,0.744681,0.868932,0.858473
0.357068,0.812442,0.428742,0.814625,0.634419,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.3,0.609459,100,0.084537,0.833746,raw_max100,0.3,19932,0.034416,0.675676,0.078277,0.42217,0.092319,0.812721,0.852273,0.741135,0.868932,0.853818
0.356419,0.812442,0.429061,0.814625,0.634205,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.25,0.60935,50,0.081752,0.833251,raw_max50,0.3,20599,0.034275,0.655022,0.073145,0.387446,0.0883,0.805654,0.852273,0.744681,0.868932,0.853818
